Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Other Petro-Based Chemicals,Vinyl Chloride Monomer,317925,178829,349371,167169,344423,177368,484390,247256,457532,252913,511166,280807,479876,315306,581809,552782
Other Petro-Based Chemicals,Epichlohydrine,33588,33629,43383,37643,48112,34563,56024,51446,65013,83311,61163,72337,55202,58174,66405,118899
Other Petro-Based Chemicals,Iso Butylene,13010,12222,15853,10526,20051,14133,48702,36009,44558,40254,10787,7475,1806,1231,54,143
Other Petro-Based Chemicals,Metaxylene,946,902,3064,2755,2667,2600,2078,2064,2943,3306,1910,1991,2711,2492,4726,4208
Other Petro-Based Chemicals,Methyl Isobutyl Ketone,23243,26643,27576,22104,22487,17388,34684,31270,33932,29589,29977,18245,30744,31945,37198,62842
Other Petro-Based Chemicals,Pib,11290,16394,14367,17322,16034,16949,15041,16964,16287,20089,16125,19857,16396,18107,18485,24889
Other Petro-Based Chemicals,Polycarbonate,124555,189828,138535,207756,138365,204195,158944,256209,190435,369272,175692,263317,179111,267899,211794,475954
Other Petro-Based Chemicals,Propylene Oxide,22914,25917,25552,25697,23064,21699,23446,23594,26800,30694,20160,20127,17361,22038,20504,32293
Other Petro-Based Chemicals,Propylene Glycol,48749,50720,54045,46881,51339,39956,57333,49579,66498,69089,67372,54615,59532,55321,62175,129778
Other Petro-Based Chemicals,Polyvinyl Acetate Resin,4003,8300,3209,5941,3043,3829,3448,5059,2713,3894,3578,4955,3818,4871,4451,7998
Other Petro-Based Chemicals,Unsaturated Polyster Resin,28855,33910,30303,36568,39975,42255,49888,53751,42954,59992,48616,58735,49482,58712,48099,98713
Other Petro-Based Chemicals,Ethyl Benzene,128,182,150,146,308,267,351,320,719,806,463,471,500,490,947,1247
Other Petro-Based Chemicals,Cellulose Acetate Butyrate,1,5,2,12,3,18,3,10,0,0,12,18,19,14,57,106
Other Petro-Based Chemicals,Cellulose Acetate Sheet,1260,749,1295,775,1066,564,1346,921,1516,1122,1356,1013,1311,1059,1645,1632
Other Petro-Based Chemicals,Cellulose Nitrate Sheet,263,467,88,260,75,250,99,327,106,396,75,270,1243,538,521,366
Other Petro-Based Chemicals,Melamine Moulding Powder,10081,12356,11872,13961,12997,15304,14699,16993,15280,20127,14945,18772,11992,15425,13559,23132
Other Petro-Based Chemicals,Polyacetal Resin,32605,29992,35212,34173,37883,37829,43672,43617,48759,59046,47673,53004,49011,56158,48878,72046
Other Petro-Based Chemicals,Phthalic Anhydride,52350,39837,79803,44118,92058,53567,130440,86282,144801,107477,174482,110039,140781,80887,121211,91699
Other Petro-Based Chemicals,Styrene,617800,543696,717696,516539,729627,557571,789273,654655,817779,744118,876922,610879,738149,459419,888499,799875
Other Petro-Based Chemicals,Vinyl Actate Monomer,139553,114477,141649,88260,162004,87159,184964,117193,171353,135851,162866,98977,138364,88247,178958,252872
Other Petro-Based Chemicals,Isopropanol,63194,51016,87606,47646,97262,55519,110464,71816,141113,98531,154095,83539,186792,164736,135446,112481
Other Petro-Based Chemicals,Polyol,167916,246352,186239,243011,175766,225387,218541,281622,248491,350672,239755,330380,169499,228580,174008,352016
Total Import Of Major Petrochemicals,Total Import Of Major Petrochemicals,10704840,8844609,11665712,8170211,12128783,8523103,12843131,9495959,12356030,10825921,12222311,9101336,10210873,7159554,11731702,12009342
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
